reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
738b6d3a-2d7f-4a82-bfe2-dcf32591f944,NAHOM NIGUSSIE,https://play-lh.googleusercontent.com/a-/ALV-UjUpZu7wO5rtCPblZs4h2xzf6G7vVSfqUBEbdgWj1mPSFEXdvJg,Slow and buggy crashed all the time need a lot of update,2,1,,2024-05-21 18:38:28,,,
e20abe49-8fe7-42fe-af3a-91399875b21a,Abbatu Ermias,https://play-lh.googleusercontent.com/a/ACg8ocL04JUf8nYpJ_s9pOW5IFIy2eimHOCvjezBhSOJk67d4rjgaQ=mo,Awe ሃረፍ nawe,5,0,24.04.23,2024-05-21 05:06:05,,,24.04.23
55c833c8-a942-47bb-aaaa-e022f39e28af,Habtsh Darge,https://play-lh.googleusercontent.com/a/ACg8ocJXfM7m1l1UODfWTfj2typb4n3HhR_hKfhOv61FmJa-9tMYAw=mo,በጣም ቀፋፊ አፕ ነው ። ሰርቶ አያውቅም ። በጣም ብዙ ችግር አለበት ከአቢሲኒያ ባንክ የማይጠበቅ አፕ ለምን ደህና ዲቨሎኘር ቀጥራችሁ አፕሊኬሽኑን አታሰሩትም ?,1,0,,2024-05-20 08:07:49,,,
d62d6d95-2900-4038-aa26-c9b42835c971,Usman,https://play-lh.googleusercontent.com/a/ACg8ocJtoebqZln9aOe7jMq6S8Ng_YHqH-t9Z__1NgZDxvIlR755hw=mo,This application is very bad . Please modify this just like cbe birri app,1,0,,2024-05-19 16:27:13,,,
20c4de51-f5cd-41f3-b21a-efdf8cb4463e,Eskender Million,https://play-lh.googleusercontent.com/a-/ALV-UjUvW8yHYIlLjJSRRMMbXk1hPFbmmgGXupikLNrelDYDa5YVqtTZ,"It has a very complex, inconvenient to use, and at most heavy step, I don't understand why it is supposed to be like that. All in all, I couldn't use it for anything other than wasting time. As a banker, it's hard for me to think about what other customers are going through. I reilly disappointing.",1,1,24.04.23,2024-05-17 20:37:40,,,24.04.23
f7b29ba8-e90e-4dd6-bf6e-f1480b119456,Leta Teshome,https://play-lh.googleusercontent.com/a-/ALV-UjUuAZ_4uI6uADtpcdpw20tQFVZUuta1J4glsasF1B5h4IGVQ58G,"Never try Apollo. To be honest, this app will let you down. Picture yourself dining out and using this app to pay for your meal, only to discover that Apollo is unable to process your payment, leaving you feeling bewildered. I strongly recommend exploring other options and refraining from using Apollo, especially considering the app has been malfunctioning for over a week.",1,2,24.04.23,2024-05-17 00:40:28,,,24.04.23
250c64b7-029e-44d7-a9b2-7ce655198af7,adonias addis,https://play-lh.googleusercontent.com/a-/ALV-UjW72Kxk2JehS6SR9xfj_Q_b3zXq5D7ZogFOHmBsOLEA85kW1pUWzg,I like,5,0,24.04.23,2024-05-16 20:36:19,,,24.04.23
a3826cda-d42f-4d43-826c-6a5a36d4b6a5,Elias Sabu,https://play-lh.googleusercontent.com/a/ACg8ocKo6LPqqQ9YWA7k6sS6KH0dT1jkzo_odWbq60PpX0HhnptfHA=mo,ብድር ከመለስን ቡሃላ ድጋሚ አይሰጥም ከቻላችሁ አስተካክሉ,1,0,,2024-05-16 16:57:08,,,
fc32f69e-fc81-4697-a29e-5d45c57fe945,Lama Yig,https://play-lh.googleusercontent.com/a/ACg8ocI1PHIbkxDTu2uZmTG071KxrhBvXlw_algkZVfS-MGt3hJiFg=mo,This not more intractive and fast,1,0,23.08.03,2024-05-16 07:32:51,,,23.08.03
8ecd7bf6-d5f9-4e46-b923-5121180bc676,dagim zewdu,https://play-lh.googleusercontent.com/a/ACg8ocJjSQIrdwF6C0TfBWS_EPReaoCpKSOGypQo1pkpzwuj7Yl4Pw=mo,Disappointing experience Recently the app is not working. I couldn't manage my urgent payments. I can't access the mony I have. It's such a shame for the vendor of the app.,1,1,24.04.23,2024-05-16 04:45:52,,,24.04.23
3443a48a-a53e-4e93-be4e-5638a1f03b11,Minilik Afework,https://play-lh.googleusercontent.com/a-/ALV-UjUq4kYTrZNf14_TIL1dWBjFyejCjTCfeQxz8Nw5XojriB7wyy5B,"Frustrating experience. Crashes frequently, ask to enable internet connection despite having a good internet speed, unresponsive most of the times takes too long to process every action. You simply can't rely on it.",1,8,24.04.23,2024-05-15 17:55:37,,,24.04.23
