reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,review_date,appVersion
950f2ad4-fd32-4903-899a-e793cf733903,besufkad mamo,poor customer service and misleading advertisement.. what they adevrtise and what they do is completely different plus their staffs are incompetent on different level they don't have the knowhow.. its very very disappointing,1,0,23.01.16,2023-02-28 11:05:22,23.01.16
22e9bca3-f8b8-4e0b-9965-6d2d12231c02,yabsira million,"It's great app, how ever it need some real update to work smoothly. Well done Abyssinia Bank",4,3,23.01.16,2023-02-28 01:31:31,23.01.16
6c7fa410-6fef-443c-8bd9-e9446c215164,Andualem Assefa,"I gave you one star for your vision only but Apollo the app is not what it purports to be because it doesn't fly; it crawls. Attempting for the fourth time now and the app couldn't let me go past the ""occupation"" section to complete signing up. Giving your mediocre app the name 'Apollo' is such a joke.",1,4,23.01.16,2023-02-27 10:22:58,23.01.16
ae589ddc-6a2f-46a4-8956-dbaca1df6ac3,Melex Bj,Any one can use it easily keep it up boa!,5,2,23.01.16,2023-02-26 20:51:13,23.01.16
bfc7de70-3b2f-47cf-b863-a6ef30f64953,Isru Fitsum,"As a developer the application UI and responsiveness is kinda good. But I got stuck at one button, which asks you to complete your on boarding before using its services. It is really frustrating and I get no help from their customer service also.",2,14,23.01.16,2023-02-16 14:50:27,23.01.16
20fdfcef-ac4c-4352-b4f5-cedc99ac4d75,teddy comneet,Doesn't work properly keep saying error.,1,0,23.01.16,2023-02-15 15:02:54,23.01.16
ab95e600-470e-436c-a8d4-f2c87a5c6ba2,Tadesse Bekel,it's good for us easygoing banking to use,5,2,23.01.16,2023-02-10 22:16:14,23.01.16
c234f8eb-64af-4f22-a25a-f3f6975ef3b7,Mohammed Abdela,It is best idea for easy acssesibility of bank but not easy to register,3,2,23.01.16,2023-02-08 15:28:36,23.01.16
65b305bf-ce99-4b29-908d-9e6dd7cdb2b8,Lemi Tadesse,"This app makes transactions easiest! I want to appreciate BOA for such modernization 👏👏👏It's fast, reliable & easiest to use. But let me recommend one thing; it has not the interface that enable to create two accounts with two phone numbers on single apparatus. One may want two accounts for different purposes (one for saving & the other for daily transactions).",5,181,23.01.16,2023-02-08 15:18:43,23.01.16
565193a5-77c9-46bd-9bc1-81e91eabbf76,Ermiyas Abas Abdulahi,Excellent,4,0,23.01.16,2023-02-05 20:14:31,23.01.16
3ffa88e8-7593-46e3-a804-ffb9436d3aaa,semale sefa,Dese aylem,1,5,23.01.16,2023-02-04 16:27:05,23.01.16
5e598bd1-7a06-4f2c-af39-7022d8f630db,Abiy Addis,"Honestly better than any other option. A bit slow tho. And add a hide button for my money, i dont want people knowing im broke💀",4,4,23.01.16,2023-02-03 23:48:06,23.01.16
2bfae76a-ad5b-439d-b23e-0efdea2e5018,Bonsa werkina,It seems best digital feature,5,1,23.01.16,2023-02-03 13:52:37,23.01.16
